"Status","Segment","URL","Page","Primary Keyword","Secondary Keywords","Google Planner Evidence","Competition","Lock Status","Notes / Next Action"
"Live","Core","https://fatehplumelec.com/","Home","plumbing and electrical services Brampton","plumber Brampton; electrician Brampton; emergency plumbing; electrical repair; nearby GTA service","Needs validation","Needs validation","Locked","Home page targets blended brand/service intent; keep Brampton as local base without overstuffing city wording."
"Live","City Plumbing","https://fatehplumelec.com/brampton-plumber.html","Plumber in Brampton","plumber in Brampton","Brampton plumber; emergency plumber Brampton; drain cleaning Brampton; water heater repair Brampton; leak detection Brampton","Validated from competitor/audit workflow","High local intent","Locked","Main city plumbing model page."
"Live","City Electrical","https://fatehplumelec.com/brampton-electrician.html","Electrician in Brampton","electrician in Brampton","Brampton electrician; emergency electrician Brampton; panel upgrade Brampton; EV charger installation Brampton; lighting installation Brampton","Validated from site plan; needs deeper planner pass","Needs validation","Locked","Main city electrical model page; red electrical treatment locked."
"Live","Plumbing Emergency","https://fatehplumelec.com/emergency-plumber.html","Emergency Plumber","emergency plumber","emergency plumbing; emergency plumber near me; 24 hour plumber; same day plumber; urgent plumber; emergency drain service","10-100 provided; near-me variants high competition","Low to High","Locked","Use Emergency Plumber as page/menu label; emergency plumbing as secondary wording."
"Live","Plumbing Emergency","https://fatehplumelec.com/leak-detection.html","Leak Detection","leak detection","leak detection near me; water leak detection; leak detection company; plumbing leak detection; leak detection specialist; water leak repair","10-100 provided; CPC shown for leak/water leak terms","Medium to High","Locked","Keep plumbing/public-facing wording; avoid equipment-only search intent."
"Live","Plumbing Emergency","https://fatehplumelec.com/pipe-repair.html","Pipe Repair","pipe repair","water pipe repair; pipe leak repair; plumbing leak repair; pipe repair and replacement; water leak repair","10-100 provided","Medium to High","Locked","Menu shows completed page; no red dot needed if content remains approved."
"Live","Plumbing Emergency","https://fatehplumelec.com/burst-pipe-repair.html","Burst Pipe Repair","burst pipe repair","burst pipe; frozen pipe; frozen water pipes; plumbing frozen pipes; emergency water leak repair","10-100 provided; burst pipe low competition","Low","Locked","Primary should stay Burst Pipe Repair; frozen pipe only secondary."
"Live","Plumbing Emergency","https://fatehplumelec.com/main-drain-backup.html","Main Drain Backup","main drain backup","main drain backing up in basement; main sewer line backup; main sewer line backed up; main floor drain backing up; plumbing main line backup","10-100 provided","Low to High","Locked","Good emergency page; links to drain cleaning and sewer service."
"Live","Kitchen Plumbing","https://fatehplumelec.com/kitchen-sink-installation.html","Kitchen Sink Installation","kitchen sink installation","install kitchen sink; sink installation; kitchen sink plumbing; kitchen sink replacement","100-1K provided","Needs validation","Needs review","Kitchen category page built; verify long-content depth after recent expansion."
"Live","Kitchen Plumbing","https://fatehplumelec.com/clogged-kitchen-sink.html","Clogged Kitchen Sink","clogged kitchen sink","kitchen sink clogged; kitchen sink drain cleaning; blocked kitchen sink; kitchen sink backup","1K-10K provided","Needs validation","Needs review","Strong keyword; keep separate from general clogged sink page."
"Live","Kitchen Plumbing","https://fatehplumelec.com/faucet-repair.html","Faucet Repair","faucet repair","kitchen faucet repair; leaky faucet repair; tap repair; faucet cartridge replacement; faucet replacement","100-1K provided for faucet repair; kitchen faucet repair 100-1K","Needs validation","Needs review","Shared faucet repair page; can support kitchen and bathroom terms without duplicating pages."
"Live","Kitchen Plumbing","https://fatehplumelec.com/garbage-disposal-repair.html","Garbage Disposal Repair","garbage disposal repair","garburator repair; garbage disposal not working; kitchen disposal repair; disposal replacement","Validated from kitchen set; needs deeper planner pass","Needs validation","Needs review","Canadian wording can mention garburator as secondary, not URL."
"Live","Bathroom Fixtures","https://fatehplumelec.com/bathroom-plumbing.html","Bathroom Plumbing","bathroom plumbing","bathroom plumber; bathroom plumbing repair; bathroom sink plumbing; shower plumbing; toilet plumbing","100-1K provided","Needs validation","Needs review","Hub-style bathroom page."
"Live","Bathroom Fixtures","https://fatehplumelec.com/toilet-repair.html","Toilet Repair","toilet repair","running toilet repair; leaking toilet; toilet replacement; toilet plumber; toilet installation","100-1K provided; +900% change noted","Needs validation","Needs review","Keep repair primary; installation/replacement secondary only."
"Live","Bathroom Fixtures","https://fatehplumelec.com/clogged-toilet.html","Clogged Toilet","clogged toilet","blocked toilet; toilet overflow; toilet will not flush; clogged toilet plumber; toilet drain clog","1K-10K provided","Needs validation","Needs review","Separate from clogged sink because traffic is strong."
"Live","Bathroom Fixtures","https://fatehplumelec.com/clogged-sink.html","Clogged Sink","clogged sink","bathroom sink clogged; slow sink drain; sink drain cleaning; vanity sink clog","1K-10K provided","Needs validation","Needs review","Separate from clogged toilet because traffic is strong."
"Live","Bathroom Fixtures","https://fatehplumelec.com/bidet-installation.html","Bidet Installation","bidet installation","bidet installation near me; plumber to install bidet; bidet installation cost; toilet bidet installation","10-100 provided","Medium","Locked","New page; menu/search included."
"Live","Bathroom Fixtures","https://fatehplumelec.com/laundry-tub-installation.html","Laundry Tub Installation","laundry tub installation","laundry sink installation; utility sink installation; laundry tub plumbing; basement laundry sink","User observed good traffic; needs exact planner range added","Needs validation","Locked","New page; menu/search included."
"Legacy / Review","Bathroom Fixtures","https://fatehplumelec.com/toilet-faucet-repair.html","Toilet and Faucet Repair","toilet and faucet repair","toilet repair; faucet repair; fixture repair; leaking tap; running toilet","Older mixed page","Needs validation","Needs review","Mixed target; consider keeping as legacy support or redirecting after all separate pages are strong."
"Live","Drains & Sewers","https://fatehplumelec.com/drain-cleaning.html","Drain Cleaning","drain cleaning","clogged drain; sewer cleaning; drain cleaning Brampton; floor drain backup; kitchen drain cleaning","1K-10K provided","Needs validation","Needs review","Important hub page; should internally link to main drain, clogged sink/toilet, sewer pages."
